Hammersmith and Fulham,Sexual Offences,287,402,423,420,339,391,414,233,244
Hillingdon,Violence Against the Person,5431,6269,7303,6660,5992,6355,7468,4230,4088
Redbridge,Possession of Weapons,112,130,158,176,125,149,178,78,108
Kensington and Chelsea,Public Order Offences,776,1235,1235,1193,1105,1131,1138,466,469
Croydon,Public Order Offences,1295,1804,2022,1712,1651,1941,2230,879,926
Tower Hamlets,Fraud and Forgery,0,0,0,0,0,0,0,1025,108
Kingston upon Thames,Public Order Offences,455,640,785,724,594,719,732,381,345
Brent,Public Order Offences,1394,1601,1850,1821,1494,1700,2062,1321,1168
Hackney,Fraud and Forgery,0,0,0,0,0,0,0,811,56
Barnet,Fraud and Forgery,0,0,0,0,0,0,0,1489,144
Lewisham,Possession of Weapons,169,275,323,313,238,308,291,152,189
Waltham Forest,Fraud and Forgery,0,0,0,0,0,0,0,1100,104
Sutton,Possession of Weapons,50,69,99,111,60,79,115,54,51
Bexley,Public Order Offences,576,812,1140,928,723,946,1277,415,465
Lambeth,Sexual Offences,656,793,872,924,799,864,861,407,446
Wandsworth,Violence Against the Person,4494,5537,6646,6570,5630,6011,6866,3438,3345
Tower Hamlets,Violence Against the Person,6301,7556,8394,8397,7225,7688,8207,5128,5316
Newham,Violence Against the Person,6853,8141,8999,8865,8015,8590,8983,5816,5431
Enfield,Public Order Offences,975,1251,1477,1367,1095,1233,1761,532,708
Lambeth,Possession of Weapons,300,412,408,470,364,512,373,198,243
Westminster,Fraud and Forgery,0,0,0,0,0,0,0,2342,178
Richmond upon Thames,Fraud and Forgery,0,0,0,0,0,0,0,413,42
Southwark,Possession of Weapons,189,299,377,464,230,445,340,236,197
Barking and Dagenham,Fraud and Forgery,0,0,0,0,0,0,0,738,61
Westminster,Public Order Offences,1828,2528,3317,3241,2137,3153,3012,1580,1610
Hammersmith and Fulham,Fraud and Forgery,0,0,0,0,0,0,0,864,64
Havering,Sexual Offences,480,332,459,410,365,420,434,169,187
Richmond upon Thames,Violence Against the Person,1975,2489,2965,2894,2304,2735,3017,1664,1551
Redbridge,Sexual Offences,352,499,464,482,399,453,499,221,249
Hackney,Public Order Offences,1337,1788,1891,1667,1651,1875,2183,902,974
Hillingdon,Fraud and Forgery,0,0,0,0,0,0,0,748,50
Enfield,Possession of Weapons,205,216,277,250,155,263,230,129,149
Camden,Sexual Offences,393,543,605,620,524,620,530,308,302
Islington,Fraud and Forgery,0,0,0,0,0,0,0,834,59
Greenwich,Violence Against the Person,5460,7049,7966,7673,6403,7305,8163,4622,4352
Barking and Dagenham,Sexual Offences,336,416,517,460,406,443,477,237,266
